payment_date,payment_month,supplier,expense_type,expense_area,supplier_type,supplier_post_code,amount,transaction_number,description
2024-01-02,2024-01-01 00:00:00,NUCLEAR DECOMMISSIONING AUTHORITY,Utilisation Of Provisions - British Energy,"Desnz - Net Zero, Nuclear & International - Desnz - British Energy Historic Payments",Vendor,Ca24 3hw,8320847.0,558277,Desnz - British Energy Historic Liabilities Funding-utilisation Of Provisions - British Energy
2024-01-02,2024-01-01 00:00:00,OFFICE OF GAS AND ELECTRICITY MARKETS (OFGEM),Ca - Other Receivables - Unclassified,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Grant,Sw1p 3ge,13321065.0,559908,Desnz - Rhi Domestic Ame Payments-ca - Other Receivables - Unclassified
2024-01-02,2024-01-01 00:00:00,OECD (ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT),R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,75775,670116.99,561254,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other
2024-01-02,2024-01-01 00:00:00,NUCLEAR DECOMMISSIONING AUTHORITY,Grant-in-aid To Arms Length Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nda",Vendor,Ca24 3hu,312000000.0,558560,Desnz - Nuclear Decommissioning Authority Grant In Aid-grant-in-aid To Arms Length Bodies
2024-01-02,2024-01-01 00:00:00,PA CONSULTING SERVICES LTD,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Vendor,Sg8 6dp,60000.0,553705,Desnz - Roll-out Of Smart Meters-other Technical Professional Services
2024-01-02,2024-01-01 00:00:00,SOUTH TYNESIDE COUNCIL,Current Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Wga Only,Ne33 2rl,39520.0,561460,Desnz - Hndu Pipeline And Related Expenditure-current Grants To Local Government
2024-01-02,2024-01-01 00:00:00,AMAZON WEB SERVICES EMEA SARL,It Hosting Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Vendor,Ec2a 2fa,53651.34,561481,Desnz - Rrems Business As Usual-it Hosting Services
2024-01-03,2024-01-01 00:00:00,OFFICE OF GAS AND ELECTRICITY MARKETS (OFGEM),Ca - Prepayments - Other,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Grant,Sw1p 3ge,16342000.0,561222,Desnz - Boiler Upgrade Scheme (Capital)-Ca - Prepayments - Other
2024-01-03,2024-01-01 00:00:00,BRILL POWER LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Ox1 1hu,52256.82,561990,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-01-03,2024-01-01 00:00:00,HOMEFIRE GROUP LTD,Utilisation Of Provisions - Social Assistance Benefits - Concessionary,Desnz - Energy Infrastructure - Desnz - Energy Development,Vendor,S21 1tz,542981.4,561721,"Desnz - Concessionary Fuel Scheme Costs (Includes Supply, Distribution & Contrac-utilisation Of Provisions - Social Assistance Benefits - Concessionary"
