Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
02/12/2024,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Salix Finance Ltd,639277,931392.9,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
02/12/2024,Programme Monitoring And Evaluation,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Winning Moves Ltd,639964,33456,Desnz - Psd Design & Delivery-programme Monitoring And Evaluation,B3 2aa,Grant
02/12/2024,Other Professional Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Met Office,637881,269819.33,Desnz - Met Office Modelling-other Professional Services,Ex1 3pb,Wga Only
02/12/2024,Ca - Other Receivables - Unclassified,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Office Of Gas And Electricity Markets (Ofgem),636713,11403437,Desnz - Rhi Domestic Ame Payments-ca - Other Receivables - Unclassified,Sw1p 3ge,Grant
02/12/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Office Of Gas And Electricity Markets (Ofgem),638459,6384363.6,Desnz - Boiler Upgrade Scheme (Programme)-Administration Of Grants And Awards,E14 4pu,Grant
02/12/2024,Capital Grants To Private Sector - Companies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Office Of Gas And Electricity Markets (Ofgem),639647,11610000,Desnz - Boiler Upgrade Scheme (Capital)-Capital Grants To Private Sector - Companies,Sw1p 3ge,Grant
02/12/2024,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Baringa Partners Llp,634652,38400,Desnz - Roll-out Of Smart Meters-other Technical Professional Services,Sw1e 6aj,Vendor
02/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Brill Power Ltd,639999,34261.34,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Ox1 2ew,Grant
02/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",University Of Exeter,639994,86095.98,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Ex4 4rj,Grant
02/12/2024,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Salix Finance Ltd,638458,1504132.51,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
02/12/2024,Finance & Accounting Advice,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Deloitte Llp,638166,318669.17,Desnz - Great British Nuclear-finance & Accounting Advice,Ec4a 3hq,Vendor
02/12/2024,Finance & Accounting Advice,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Deloitte Llp,638166,364791.83,Desnz - Gbn - Statutory Requirements And Key Policy Enablers-finance & Accounting Advice,Ec4a 3hq,Vendor
02/12/2024,Finance & Accounting Advice,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Deloitte Llp,638169,113330.33,Desnz - Great British Nuclear-finance & Accounting Advice,Ec4a 3hq,Vendor
02/12/2024,Finance & Accounting Advice,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Deloitte Llp,638169,196293.42,Desnz - Gbn - Statutory Requirements And Key Policy Enablers-finance & Accounting Advice,Ec4a 3hq,Vendor
02/12/2024,Finance & Accounting Advice,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Deloitte Llp,638576,561085.25,Desnz - Gbn - Statutory Requirements And Key Policy Enablers-finance & Accounting Advice,Ec4a 3hq,Vendor
02/12/2024,Utilisation Of Provisions - British Energy,"Desnz - Net Zero, Nuclear & International - Desnz - British Energy Historic Payments",Nuclear Decommissioning Authority,637679,7159363.46,Desnz - British Energy Historic Liabilities Funding-utilisation Of Provisions - British Energy,Ca24 3hw,Vendor
02/12/2024,Grant-in-aid To Arms Length Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nda",Nuclear Decommissioning Authority,637681,324000000,Desnz - Nuclear Decommissioning Authority Grant In Aid-grant-in-aid To Arms Length Bodies,Ca24 3hu,Vendor
02/12/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,630582,426418,Desnz - Uk Ets-outsourced Programme Management,Np10 8fz,Wga Only
02/12/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Iron Mountain (Uk) Plc,639740,46742.5,Desnz - Coal Health Administration Costs Including Legal Defence And Records Management-utilisation Of Provisions - Purchase Of Goods & Services - Other,Eh54 7df,Vendor
02/12/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Iron Mountain (Uk) Plc,639742,45719.74,Desnz - Coal Health Administration Costs Including Legal Defence And Records Management-utilisation Of Provisions - Purchase Of Goods & Services - Other,Eh54 7df,Vendor
