Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
01/11/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Salix Finance Ltd,632047,893349.61,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
01/11/2024,Training And Development Expenditure,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Coachhub Ltd,632088,120000,Desnz - Devolved Admin-training And Development Expenditure,Ub8 1ph,Vendor
01/11/2024,Ca - Other Receivables - Unclassified,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Office Of Gas And Electricity Markets (Ofgem),628095,6684276,Desnz - Rhi Domestic Ame Payments-ca - Other Receivables - Unclassified,Sw1p 3ge,Grant
01/11/2024,Research And Development Expenditure,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Ricardo-aea Ltd,631276,50781,Desnz - Energy Technology List Research & Products Policy Support Services-research And Development Expenditure,Ox11 0qr,Vendor
01/11/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Salix Finance Ltd,630184,1539969.8,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
01/11/2024,Utilisation Of Provisions - British Energy,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Nuclear Decommissioning Authority,629649,7223630.64,Desnz - British Energy Historic Liabilities Funding-utilisation Of Provisions - British Energy,Ca24 3hw,Vendor
01/11/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Nuclear Decommissioning Authority,629650,316000000,Desnz - Nuclear Decommissioning Authority Grant In Aid-grant-in-aid To Arms Length Bodies,Ca24 3hu,Vendor
01/11/2024,R & D Other It Consultancy,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Triad Group Plc,632095,38587.5,Desnz - Uk Ets-r & D Other It Consultancy,Gu7 1xe,Vendor
01/11/2024,Marketing And Media,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Lane Clark & Peacock Llp,632071,41800,"Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-Marketing And Media",W1u 1dq,Vendor
01/11/2024,Current Grants To Private Sector - Npish,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Dai Global Uk Ltd,632062,707147.67,Desnz - International Climate Finance (Icf)-Current Grants To Private Sector - Npish,Hp3 9td,Vendor
01/11/2024,Consultancy Expenditure,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Icf Consulting Services Ltd,632087,40800,Desnz - Business Energy Efficiency Delivery-consultancy Expenditure,Ec4r 1be,Vendor
01/11/2024,Ict Outsourcing & Maintenance/Support,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Fivium Ltd,627546,51162.86,Desnz - Energy Portal Costs-ict Outsourcing & Maintenance/Support,W1f 7ld,Vendor
01/11/2024,Outsourced Technical Support,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Cgi It Uk Ltd,630911,38634.86,Ics - Admin-outsourced Technical Support,Ec3m 3by,Vendor
01/11/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,The Committee On Climate Change,627486,975369,Desnz - Committee On Climate Change Grant-in-aid Payments-grant-in-aid To Arms Length Bodies,Yo1 7px,Grant
01/11/2024,R & D Current Grants To Private Sector - Npish,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Chameleon Technology (Uk) Ltd,632079,260289.66,Desnz - Net Zero Innovation - Smart-r & D Current Grants To Private Sector - Npish,Hg3 1uf,Grant
01/11/2024,R & D Outsourced Other,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,National Nuclear Laboratory Ltd,632124,186912.29,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,Wa3 6ae,Vendor
01/11/2024,R & D Current Grants To Private Sector - Npish,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Trelleborg Retford Ltd,632301,240882.58,Desnz - Net Zero Innovation - Renewables-r & D Current Grants To Private Sector - Npish,Dn22 7ax,Grant
01/11/2024,Outsourced Programme Management,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Aecom Ltd,632061,50424.83,Desnz - Heat Networks Zoning-outsourced Programme Management,Wc1v 6qs,Vendor
01/11/2024,Research And Development Expenditure,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Aecom Ltd,632092,153237,Desnz - Heat Networks Zoning-research And Development Expenditure,Al1 3lx,Vendor
04/11/2024,R & D Outsourced Other,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Caldera Heat Batteries Ltd,632320,437807.44,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Po15 5tx,Grant
04/11/2024,R & D Outsourced Other,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Catagen Ltd,632391,119749.08,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Bt3 9dt,Vendor
04/11/2024,Outsourced Programme Management,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Serco Ltd,632336,86829.3,Desnz - Dwp Warm Home Discount Delivery-outsourced Programme Management,Nn17 9gy,Vendor
04/11/2024,R & D Current Grants To Private Sector - Npish,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Guru Systems Ltd,632319,34231.23,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,Se1 3er,Grant
04/11/2024,Marketing And Media,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Ipsos (Market Research) Ltd,631447,75111,Desnz - Critical Infrastructure And Capability Package - Fuel Programme-marketing And Media,E1w 1yw,Vendor
04/11/2024,Research And Development Expenditure,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Aecom Ltd,632410,96394.5,Desnz - Heat Networks Zoning-research And Development Expenditure,Wc1v 6qs,Vendor
05/11/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Fti Consulting Ltd,632372,316141.34,Desnz - Energy Price Guarantee - Domestic-audit Services,Ec1a 4hd,Vendor
05/11/2024,Ca - Other Receivables - Unclassified,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Office Of Gas And Electricity Markets (Ofgem),632112,116258482,Desnz - Rhi Non-domestic Ame Payments-ca - Other Receivables - Unclassified,Sw1p 3ge,Grant
05/11/2024,Programme Monitoring And Evaluation,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Iff Research Ltd,630933,112416.28,Desnz - Hug 2-programme Monitoring And Evaluation,Ec3r 6hd,Vendor
05/11/2024,Other Professional Services,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Baringa Partners Llp,632606,109890,Desnz - Reform Of Energy System Operations-other Professional Services,Sw1e 6aj,Vendor
05/11/2024,Technical Advice / Services & Support,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Noise Consultants Ltd,632672,36248.4,Desnz - Net Zero Costs - Admin-technical Advice / Services & Support,Wa1 2ba,Vendor
05/11/2024,R & D Outsourced Other,Desnz - Energy Markets & Supply - Desnz - Strategy Directorate,Rsm Uk Consulting Llp,631275,25133.96,Desnz - Climate Science Mitigation-r & D Outsourced Other,Ec4a 4ab,Vendor
