Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
01/10/2024,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Salix Finance Ltd,623830,716552.17,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
01/10/2024,R & D Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Energy Systems Catapult Ltd,624379,31328.98,Desnz - Psd Strategy Projects-r & D Research And Development Expenditure,B4 6bs,Vendor
01/10/2024,It Management And Change - Application Support Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Cgi It Uk Ltd,624405,34502.54,Desnz - Rrems Business As Usual-it Management And Change - Application Support Services,Ec3m 3by,Vendor
01/10/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Kpmg Llp,610726,127335.34,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
01/10/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Fti Consulting Ltd,616816,231470.88,Desnz - Energy Price Guarantee - Domestic-audit Services,Ec1a 4hd,Vendor
01/10/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Kpmg Llp,621176,417171.05,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
01/10/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Kpmg Llp,621178,565295.38,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
01/10/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Kpmg Llp,621196,169396.6,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
01/10/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Kpmg Llp,621198,209402.17,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
01/10/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Kpmg Llp,621199,194213.27,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
01/10/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Kpmg Llp,622294,235298.92,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
01/10/2024,Ca - Other Receivables - Unclassified,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Office Of Gas And Electricity Markets (Ofgem),623875,50940981,Desnz - Rhi Non-domestic Ame Payments-ca - Other Receivables - Unclassified,Sw1p 3ge,Grant
01/10/2024,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Salix Finance Ltd,622589,1626830.21,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
01/10/2024,Consultancy Expenditure,Desnz - Energy Infrastructure - Desnz - Energy Systems & Networks,Cepa Llp,624325,128030,Desnz - Net Zero Costs - Admin-consultancy Expenditure,Wc2a 3lj,Vendor
01/10/2024,Utilisation Of Provisions - British Energy,"Desnz - Net Zero, Nuclear & International - Desnz - British Energy Historic Payments",Nuclear Decommissioning Authority,623239,7161199.66,Desnz - British Energy Historic Liabilities Funding-utilisation Of Provisions - British Energy,Ca24 3hw,Vendor
01/10/2024,Grant-in-aid To Arms Length Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nda",Nuclear Decommissioning Authority,623238,364000000,Desnz - Nuclear Decommissioning Authority Grant In Aid-grant-in-aid To Arms Length Bodies,Ca24 3hu,Vendor
01/10/2024,Finance & Accounting Advice,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Deloitte Llp,624395,64873,Desnz - Eu Exit: No Specific Dexeu Issue Prog-finance & Accounting Advice,Ec4a 3hq,Vendor
01/10/2024,Finance & Accounting Advice,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Deloitte Llp,624404,65655,Desnz - Eu Exit: No Specific Dexeu Issue Prog-finance & Accounting Advice,Ec4a 3hq,Vendor
01/10/2024,Procurement Consultancy,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Deloitte Llp,616321,41504.77,Desnz - Energy Bill Discount Scheme Del-prog-procurement Consultancy,Ec4a 3bz,Vendor
01/10/2024,Procurement Consultancy,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Deloitte Llp,620829,145266.69,Desnz - Energy Bill Discount Scheme Del-prog-procurement Consultancy,Ec4a 3bz,Vendor
01/10/2024,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Carbon Trust Advisory Ltd,623845,245816.86,Desnz - Net Zero Innovation - Built-r & D Research And Development Expenditure,Se1 9nt,Vendor
02/10/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Kpmg Llp,624691,526422.64,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
02/10/2024,Ca - Clarity Travel Management,Desnz - Corporate Services - Desnz - Finance Directorate,Corporate Travel Management (North) Ltd,624970,277395.03,Desnz - Devolved Admin-ca - Clarity Travel Management,Bd1 5hq,Vendor
02/10/2024,Capital Grants To Private Sector - Companies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Office Of Gas And Electricity Markets (Ofgem),624089,18682500,Desnz - Boiler Upgrade Scheme (Capital)-Capital Grants To Private Sector - Companies,Sw1p 3ge,Grant
02/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Leeds City Council,623820,203453.29,Desnz - Hug 2-capital Grants To Local Government,Ls1 1ur,Grant
02/10/2024,Uk Subscriptions,Desnz - Energy Infrastructure - Desnz - Energy Development,Wood Mackenzie Ltd,624400,111655.2,Desnz - Unconventional Oil And Gas Community-uk Subscriptions,Eh3 8bl,Vendor
02/10/2024,R & D Technical Advice/Services And Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Turner And Townsend Cost Management Ltd,624988,56664,Desnz - Hydrogen Heating - Cdel Expenditure-r & D Technical Advice/Services And Support,Ls18 4gh,Vendor
02/10/2024,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Centre For Environment  Fisheries And Aquaculture Science,624704,202688.4,Desnz - Offshore Environmental Regulation-other Professional Services,Nr33 0ht,Vendor
02/10/2024,Consultancy Expenditure,Desnz - Energy Infrastructure - Desnz - Hydrogen And Industrial Carbon Capture,Baringa Partners Llp,624737,29940.55,Desnz - Hydrogen Economy-consultancy Expenditure,Sw1e 6aj,Vendor
02/10/2024,Capital Grants To Public Corporations (Pcs),"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",National Nuclear Laboratory Ltd,622205,555000,Desnz - Critical Infrastructure And Capability Package - Fuel Programme-capital Grants To Public Corporations (Pcs),Wa3 6ae,Vendor
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Basildon Borough Council,625288,30840,Desnz - Hug 2-capital Grants To Local Government,Ss14 1dl,Grant
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Bristol City Council,625289,444706,Desnz - Hug 2-capital Grants To Local Government,Bs1 9ne,Wga Only
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridge City Council,625290,332535,Desnz - Hug 2-capital Grants To Local Government,Cb2 3qj,Grant
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cheshire East Borough Council,625291,214087,Desnz - Hug 2-capital Grants To Local Government,Cw11 1hz,Wga Only
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cornwall And Isles Of Scilly Lep,625292,277429,Desnz - Hug 2-capital Grants To Local Government,Tr1 3ay,Grant
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Dorset Council,625293,344103,Desnz - Hug 2-capital Grants To Local Government,Dt1 1xj,Vendor
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Great Yarmouth Borough Council,625294,101428,Desnz - Hug 2-capital Grants To Local Government,Nr30 2qf,Grant
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Liverpool City Region Combined Authority,625296,86372,Desnz - Hug 2-capital Grants To Local Government,L3 1bp,Vendor
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Oxfordshire County Council,625298,134769,Desnz - Hug 2-capital Grants To Local Government,Ox1 1nd,Wga Only
03/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Shropshire Council,625299,186543,Desnz - Hug 2-capital Grants To Local Government,Sy2 6nd,Wga Only
03/10/2024,Finance & Accounting Advice,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Ernst And Young Llp,625300,610490.65,Desnz - Eu Exit: No Specific Dexeu Issue Prog-finance & Accounting Advice,Se1 2af,Vendor
03/10/2024,Counsels Legal Opinion & Parliamentary Counsel Service,Desnz - Corporate Services - Desnz - Legal Services,Cabinet Office,624113,380601,Desnz - Devolved Admin-counsels Legal Opinion & Parliamentary Counsel Service,Np10 8fz,Wga Only
03/10/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ove Arup And Partners Ltd,625092,121400,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,Ne1 3pl,Vendor
03/10/2024,Capital Grants To Private Sector - Companies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Newport City Homes Association Ltd,625083,88275.52,Desnz - Heat Networks Efficiency Scheme (Hnes)-Capital Grants To Private Sector - Companies,Np20 2dw,Grant
04/10/2024,End User Software And Hardware - It Software Licences And Software Maintenance,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Cgi It Uk Ltd,625364,28120.7,Desnz - Rrems Business As Usual-end User Software And Hardware - It Software Licences And Software Maintenance,Ec3m 3by,Vendor
04/10/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Brill Power Ltd,625336,143929.48,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Ox1 2ew,Grant
