Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
18/04/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,583333,62070,Desnz - Social Housing Decarbonisation Fund (Shdf)-Technical Advice / Services & Support,Ls18 4gh,Vendor
08/04/2024,Other Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ricardo-aea Ltd,587055,67811.59,Desnz - Social Housing Decarbonisation Fund (Shdf)-Other Professional Services,Ox11 0qr,Vendor
17/04/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Project Management Ltd,588838,227844.52,Desnz - Social Housing Decarbonisation Fund (Shdf)-Administration Of Grants And Awards,Ls18 4gh,Vendor
24/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Westmorland And Furness Council,591400,357693.23,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,La9 4dq,Grant
24/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Royal Borough Of Kensington & Chelsea,591401,35953.78,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,W8 7nx,Vendor
24/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Broadland Housing Association Ltd,591462,678386.47,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nr1 1hu,Vendor
24/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Clarion Housing Association Ltd,591464,1496638.55,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Se1 2da,Grant
24/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Colchester City Council,591465,35936.3,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Co3 3wg,Vendor
24/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Connexus Homes Ltd,591466,209000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sy7 9bw,Grant
24/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cottsway Housing Association Ltd,591468,91000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ox28 4yg,Grant
