Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Invoice Number,Purchase Order Number,Cost Centre Name,NAC Code,NAC Name,Programme Code,Programme Name,Cost Centre Code,Directorate
01/08/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,611886,"£278,419.94",Desnz - Social Housing Decarbonisation Fund (Shdf)-Technical Advice / Services & Support,Ls18 4gh,Vendor,Priv00007301,427000003775,Desnz - Ee&L - Social Housing Decarbonisation Fund,52112018,Technical Advice / Services & Support,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
20/08/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London Borough Of Waltham Forest,616380,"£144,048.88",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,E17 4jf,Grant,Shdf2.2_027,427000004762,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
20/08/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Babergh District Council,616382,"£354,022.03",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ip1 2bx,Grant,Shdf2.2_029,427000005213,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
20/08/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ongo Homes Ltd,616383,"£27,376.44",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Dn15 6at,Grant,Shdf2.2_030,427000004868,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
20/08/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Portsmouth City Council,616384,"£386,257.01",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Po1 2al,Wga Only,Shdf2.2_031,427000005024,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
20/08/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Norwich City Council,616387,"£68,179.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nr2 1nh,Grant,Shdf2.2_034,427000005081,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
20/08/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,City Of Wolverhampton Council,616388,"£508,085.70",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Wv1 1rl,Grant,Shdf2.2_035,427000004833,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
20/08/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Calico Homes Ltd,616389,"£510,127.89",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Bb11 2ed,Grant,Shdf2.2_036,427000005096,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
20/08/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Lewes District Council,616390,"£125,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Bn7 1ab,Grant,Shdf2.2_037,427000005022,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
20/08/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Blackpool Council,616391,"£47,500.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Fy1 3ah,Grant,Shdf2.2_038,427000004801,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
