Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
12/02/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Project Management Ltd,564358,51896.26,Desnz - Social Housing Decarbonisation Fund (Shdf)-Administration Of Grants And Awards,Ls18 4gh,Vendor
12/02/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Project Management Ltd,564358,105161.54,Desnz - Social Housing Decarbonisation Fund (Shdf)-Administration Of Grants And Awards,Ls18 4gh,Vendor
06/02/2024,Other Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ricardo-aea Ltd,568513,62634.39,Desnz - Social Housing Decarbonisation Fund (Shdf)-Other Professional Services,Ox11 0qr,Vendor
13/02/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Iff Research Ltd,570526,56434.97,Desnz - Social Housing Decarbonisation Fund (Shdf)-Outsourced Programme Management,Ec3r 6hd,Vendor
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ashford Borough Council,571877,203497.48,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Tn23 1pl,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Basildon Borough Council,571878,271381.02,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ss14 1dl,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Birmingham City Council,571879,3541329,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,B1 1bb,Wga Only
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Blackpool Council,571880,166718.92,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Fy1 3ah,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridge City Council,571881,123347,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb2 3qj,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,City Of York Council,571882,132500,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Yo1 6ga,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Clarion Housing Association Ltd,571883,2059790.5,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Se1 2da,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cottsway Housing Association Ltd,571886,96000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ox28 4yg,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Coventry City Council,571887,904787.65,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cv1 5rr,Wga Only
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Crawley Borough Council,571888,193699.38,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Rh10 1uz,Vendor
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cross Keys Homes Ltd,571889,259684.64,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Pe2 7bz,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Westmorland And Furness Council,571890,79529.66,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,La9 4dq,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Fairhive Homes Ltd,571891,264096.19,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hp20 2nj,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Flagship Housing Group,571892,238421.4,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nr1 1pd,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Greater Manchester Combined Authority,571893,3000000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,M60 2la,Wga Only
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Greensquareaccord Ltd,571894,104358,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,B70 6qg,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Haig Housing Trust,571895,271165.67,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sm4 5ns,Grant
21/02/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Homes Plus Ltd,571897,214010,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sy9 5ab,Grant
