Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
10/01/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Project Management Ltd,555172,101213.24,Desnz - Social Housing Decarbonisation Fund (Shdf)-Administration Of Grants And Awards,Ls18 4gh,Vendor
10/01/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Project Management Ltd,555172,105451.51,Desnz - Social Housing Decarbonisation Fund (Shdf)-Administration Of Grants And Awards,Ls18 4gh,Vendor
10/01/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Project Management Ltd,558157,239386.95,Desnz - Social Housing Decarbonisation Fund (Shdf)-Administration Of Grants And Awards,Ls18 4gh,Vendor
05/01/2024,Other Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ricardo-aea Ltd,560783,61043.88,Desnz - Social Housing Decarbonisation Fund (Shdf)-Other Professional Services,Ox11 0qr,Vendor
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ashford Borough Council,566397,265977.87,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Tn23 1pl,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Basildon Borough Council,566398,271381.02,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ss14 1dl,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Blackpool Council,566399,230294.92,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Fy1 3ah,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Broadland Housing Association Ltd,566400,596443.31,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nr1 1hu,Vendor
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridge City Council,566401,105656,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb2 3qj,Grant
26/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cornwall Council,566404,119553.75,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Tr14 8sx,Wga Only
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cottsway Housing Association Ltd,566405,91000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ox28 4yg,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Coventry City Council,566406,709360.37,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cv1 5rr,Wga Only
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Crawley Borough Council,566407,34196.77,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Rh10 1uz,Vendor
