Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
22/07/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,604697,"£42,847.12",Desnz - Social Housing Decarbonisation Fund (Shdf)-Technical Advice / Services & Support,Ls18 4gh,Vendor
22/07/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,604697,"£164,725.37",Desnz - Social Housing Decarbonisation Fund (Shdf)-Technical Advice / Services & Support,Ls18 4gh,Vendor
05/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,The Cambridge Housing Society Ltd,606743,"£26,939.13",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb24 9zr,Vendor
05/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Shropshire Towns And Rural Housing,606744,"£91,674.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sy2 6fg,Grant
05/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London Borough Of Barking And Dagenham,606745,"£148,682.16",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ig11 7lu,Grant
05/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ongo Homes Ltd,606746,"£32,846.93",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Dn15 6at,Grant
08/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Chelmer Housing Partnership Ltd,607771,"£34,680.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cm2 5lb,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,The Cambridge Housing Society Ltd,609686,"£80,100.22",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb24 9zr,Vendor
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Wealden District Council,609688,"£29,742.63",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Bn27 2ax,Vendor
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Babergh District Council,609690,"£74,341.08",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ip1 2bx,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Portsmouth City Council,609692,"£290,362.79",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Po1 2al,Wga Only
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,City Of Wolverhampton Council,609695,"£384,012.30",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Wv1 1rl,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Uttlesford District Council,609696,"£316,880.50",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb11 4er,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ashford Borough Council,609732,"£335,533.61",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Tn23 1pl,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridge City Council,609733,"£59,508.34",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb2 3qj,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,City Of York Council,609734,"£55,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Yo1 6ga,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Colchester City Council,609735,"£114,312.88",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Co3 3wg,Vendor
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Coventry City Council,609736,"£1,412,100.31",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cv1 5rr,Wga Only
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Crawley Borough Council,609737,"£264,899.58",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Rh10 1uz,Vendor
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cross Keys Homes Ltd,609738,"£72,857.14",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Pe2 7bz,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Westmorland And Furness Council,609739,"£262,732.55",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,La9 4dq,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Epping Forest District Council,609740,"£71,331.30",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cm16 4bz,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Fairhive Homes Ltd,609741,"£346,178.84",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hp20 2nj,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Flagship Housing Group,609742,"£219,020.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nr1 1pd,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Greensquareaccord Ltd,609743,"£940,145.30",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,B70 6qg,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Haig Housing Trust,609744,"£224,625.67",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sm4 5ns,Grant
17/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Hinckley And Bosworth Borough Council,609745,"£53,791.67",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Le10 0fr,Grant
