Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
24/06/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,598513,193204.63,Desnz - Social Housing Decarbonisation Fund (Shdf)-Technical Advice / Services & Support,Ls18 4gh,Vendor
04/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Royal Borough Of Kensington & Chelsea,600318,464046.22,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,W8 7nx,Vendor
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ashford Borough Council,603936,335533.61,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Tn23 1pl,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridge City Council,603937,159925.32,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb2 3qj,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,City Of York Council,603938,155000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Yo1 6ga,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Colchester City Council,603939,144312.88,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Co3 3wg,Vendor
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cottsway Housing Association Ltd,603940,91000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ox28 4yg,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Coventry City Council,603941,1402567.28,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cv1 5rr,Wga Only
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Crawley Borough Council,603942,282193.38,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Rh10 1uz,Vendor
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cross Keys Homes Ltd,603943,72857.14,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Pe2 7bz,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Westmorland And Furness Council,603944,300904.64,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,La9 4dq,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Exeter City Council,603945,202850,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ex1 1jn,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Fairhive Homes Ltd,603946,178698.84,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hp20 2nj,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Flagship Housing Group,603947,219020,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nr1 1pd,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Golding Homes Ltd,603948,175001.65,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Me14 1st,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Greensquareaccord Ltd,603949,1008710.37,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,B70 6qg,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Haig Housing Trust,603950,224625.67,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sm4 5ns,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Hinckley And Bosworth Borough Council,603951,53791.67,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Le10 0fr,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Homes Plus Ltd,603952,297746,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sy9 5ab,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Kingston Upon Hull City Council,603953,211000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hu1 2ab,Wga Only
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London Borough Of Islington,603954,186975.58,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,N7 7ep,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Lincolnshire Housing Partnership Ltd,603955,1891996.36,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Dn31 2lj,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Liverpool City Region Combined Authority,603956,4498582.19,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,L3 1bp,Vendor
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Local Space,603957,170768.28,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,E15 4bz,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London Borough Of Barnet,603958,50000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nw9 4ew,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London Borough Of Brent,603959,252075,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ha9 0fj,Grant
20/06/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Longhurst Group Ltd,603960,315512.04,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nn10 6bs,Grant
