Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
01/03/2024,Other Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ricardo-aea Ltd,575527,46574.29,Desnz - Social Housing Decarbonisation Fund (Shdf)-Other Professional Services,Ox11 0qr,Vendor
07/03/2024,Economic Consultancy & Research,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Iff Research Ltd,576048,29176.19,Desnz - Social Housing Decarbonisation Fund (Shdf)-Economic Consultancy & Research,Ec3r 6hd,Vendor
21/03/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Project Management Ltd,577431,152119.83,Desnz - Social Housing Decarbonisation Fund (Shdf)-Administration Of Grants And Awards,Ls18 4gh,Vendor
19/03/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Iff Research Ltd,580243,103555.63,Desnz - Social Housing Decarbonisation Fund (Shdf)-Outsourced Programme Management,Ec3r 6hd,Vendor
20/03/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ashford Borough Council,581672,265977.87,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Tn23 1pl,Grant
20/03/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Basildon Borough Council,581673,1406247.7,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ss14 1dl,Grant
20/03/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Birmingham City Council,581674,6756853,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,B1 1bb,Wga Only
20/03/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Blackpool Council,581675,230653.45,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Fy1 3ah,Grant
20/03/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Broadland Housing Association Ltd,581676,833673.4,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nr1 1hu,Vendor
20/03/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridge City Council,581677,198737.34,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb2 3qj,Grant
