Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Invoice Number,Purchase Order Number,Cost Centre Name,NAC Code,NAC Name,Programme Code,Programme Name,Cost Centre Code,Directorate
06/09/2024,Ppm (Project & Programme Management),Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Ricardo-aea Ltd,617115,"£44,532.72",Desnz - Business Energy Efficiency Delivery-ppm (Project & Programme Management),Ox11 0qr,Vendor,6207720,427000001011,Desnz - Idet Portfolio & Engagement Office,52113006,Ppm (Project & Programme Management),700246,Desnz - Business Energy Efficiency Delivery,700689,Net Zero Buildings and Industry (NZBI)
17/09/2024,Ppm (Project & Programme Management),Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Ricardo-aea Ltd,621691,"£27,069.18",Desnz - Business Energy Efficiency Delivery-ppm (Project & Programme Management),Ox11 0qr,Vendor,6208141,427000001011,Desnz - Idet Portfolio & Engagement Office,52113006,Ppm (Project & Programme Management),700246,Desnz - Business Energy Efficiency Delivery,700689,Net Zero Buildings and Industry (NZBI)
02/09/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,617822,"£342,107.82",Desnz - Social Housing Decarbonisation Fund (Shdf)-Technical Advice / Services & Support,Ls18 4gh,Vendor,Priv00007501,427000003775,Desnz - Ee&L - Social Housing Decarbonisation Fund,52112018,Technical Advice / Services & Support,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
06/09/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Iff Research Ltd,619559,"£51,619.74",Desnz - Social Housing Decarbonisation Fund (Shdf)-Outsourced Programme Management,Ec3r 6hd,Vendor,18792,427000001398,Desnz - Ee&L - Social Housing Decarbonisation Fund,52114021,Outsourced Programme Management,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ashford Borough Council,621010,"£335,533.61",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Tn23 1pl,Grant,Shdf2_943,427000000570,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Basildon Borough Council,621011,"£858,032.36",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ss14 1dl,Grant,Shdf2_944,427000000928,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Blackpool Council,621012,"£47,500.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Fy1 3ah,Grant,Shdf2_945,427000000552,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridge City Council,621013,"£124,283.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb2 3qj,Grant,Shdf2_946,427000000576,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Colchester City Council,621014,"£64,312.88",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Co3 3wg,Vendor,Shdf2_947,427000000571,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Coventry City Council,621015,"£1,278,637.78",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cv1 5rr,Wga Only,Shdf2_948,427000000733,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
